sequence_name,n_sequences_tips,alignment_length,crown_age,gamma_shape,prop_invariant,insertion_rate,deletion_rate,mean_insertion_length,mean_deletion_length,normalized_colless_index,gamma,best_BD_speciation_rate,best_BD_extinction_rate,best_BD_speciation_alpha,best_BD_extinction_alpha,best_BLINDLIN,indel_rate,percent_unique_topologies,likelihood_ess,n_samples,shared_homologies,homologies_reference,homologies_estimated,correctly_aligned_columns,aligned_columns_ref,singleton_insertion_ref,aligned_columns_est,singleton_insertion_est,sp_score,modeler,spfn,spfp,compression_naive,compression,tc,rf_distance,max_rf_distance,n_common_leaves,rfl_distance,wall_clock_s,best_BCSTDLIN,best_BLINDEXP,best_BEXPDLIN,best_BEXPDCST
seq_1_SCOPt2e2,10,383,4.675312736128364,2.2924816606132374,0.0003126858064251,0.1137040649355052,0.1880101450384753,8.1084776190319,8.564191276538399,0.1507541348132449,-12.550228116903586,6.643268675558802,19.974926468101007,-3.1190751952360727,14.902083100467944,1.0,0.3017142099739806,0.413223,213.721305,2662,43132,43633,43687,378,408,"(15, 0)",406,"(17, 0)",0.9885178649187542,0.9872959919426832,0.0114821350812458,0.0127040080573168,1.0,1.0,0.9264705882352942,6,28,16,78.65113412907114,7200.229850292206,0.0,,,
seq_2_SCOPt2e2,10,533,3.151759007533917,1.4590173406445028,0.0397936182233787,0.0730132534308756,0.0867935245527572,5.448434422043465,6.541117737366033,0.1002924505746167,-6.0885089453240395,4.228007599032113,5.3934819826543645,-1.575201342604183,0.5379593117993693,1.0,0.1598067779836329,0.22214,153.669712,2701,22428,22814,22866,529,571,"(31, 0)",568,"(31, 0)",0.9830805645656177,0.9808449225924954,0.0169194354343823,0.0191550774075045,0.9933665008291874,0.9950166112956812,0.9264448336252188,2,16,10,24.28680060040885,7200.19983792305,0.0,,,
seq_3_SCOPt2e2,10,572,4.410441055797332,1.515285985794507,0.0258565699424919,0.1274620993339756,0.0933746011942106,3.647172617537848,3.4132276945408586,0.0733006749777401,60.515102144626304,8.13540862366083,13.627886600294126,-2.9266217286442076,3.8018175409998456,1.0,0.2208367005281863,0.217984,178.31545,1835,42783,43273,43303,596,630,"(52, 0)",629,"(52, 0)",0.9886765419545676,0.9879915941158812,0.0113234580454324,0.0120084058841188,0.998533724340176,0.998533724340176,0.946031746031746,2,22,13,12.022725092603276,7200.206717014313,0.0,,,
seq_4_SCOPt2e2,10,241,4.488020661577073,1.2143664158444951,0.0331152650095344,0.0830774738539086,0.0712131660475999,4.188335495205225,5.284157593824187,0.1239321406560052,-13.830350000268147,14.97122550795792,16.839060713887903,-0.2811517697065665,5.869645549399883,1.0,0.1542906399015086,19.505056,280.350033,3758,43857,44179,44105,239,259,"(47, 0)",259,"(50, 0)",0.9927114692500962,0.9943770547556966,0.0072885307499037,0.0056229452443034,1.0098039215686274,1.0098039215686274,0.9227799227799228,10,36,20,64.61819369874812,7200.224193096161,0.0,,,
seq_5_SCOPt2e2,10,85,2.3887012557160787,1.577779604025992,0.0030754707330173,0.1252013663031164,0.1222674675932251,3.799927400309739,3.988611619296292,0.1046395388053679,32.370166452389284,88.12279978562532,41.12420726228064,33.590889571430026,19.517838309025553,1.0,0.2474688338963416,99.930236,785.601135,7167,24632,24632,24632,90,90,"(2, 0)",90,"(2, 0)",1.0,1.0,0.0,0.0,1.0,1.0,1.0,18,46,25,201.11293454825807,7200.216490983963,0.0,,,
seq_1_SCOPt1e2,10,169,2.2181529016268726,1.8265873716862264,0.0093561643140178,0.0972531609414062,0.186276457638832,2.103490962057083,2.4309242630132704,0.214941681897437,9.54865312933654,59.995079480655946,64.87386404827761,17.72347798975335,62.86999725099195,1.0,0.2835296185802383,17.347518,759.240559,7050,20172,20215,20215,178,182,"(6, 0)",182,"(6, 0)",0.997872866683156,0.997872866683156,0.0021271333168438,0.0021271333168438,1.0,1.0,0.978021978021978,10,28,16,87.12898350293291,7200.226117134094,0.0,0.0,0.0,0.0
seq_2_SCOPt1e2,10,176,4.653628916325962,1.8908822488489072,0.0285653014919308,0.1738164510961027,0.21035281032021,2.9282170677888377,3.4080378984508912,0.2093102243880346,42.152237524763834,10.62241094199478,27.866345998853383,-7.999563623534426,12.811130585248891,1.0,0.3841692614163128,1.15429,955.667324,7797,17320,17536,17484,199,210,"(16, 0)",212,"(16, 0)",0.9876824817518248,0.990619995424388,0.0123175182481751,0.0093800045756119,1.0044052863436124,1.008849557522124,0.9476190476190476,10,26,15,71.43074797371878,7200.224749088287,0.0,0.0,0.0,0.0
seq_3_SCOPt1e2,10,27,3.5588482762928924,1.3567194947948762,0.0201337755823031,0.0569262340690729,0.082076169176676,1.3721451704008436,1.643179450072345,0.0589846888079073,20.147632463459033,17.78044875689761,12.976717273796384,3.93612596111862,17.385673906516203,1.0,0.1390024032457489,98.346016,427.05334,12878,7347,7410,7410,65,67,"(14, 0)",67,"(14, 0)",0.991497975708502,0.991497975708502,0.0085020242914979,0.0085020242914979,1.0,1.0,0.9701492537313432,22,44,24,57.900804110812935,7200.231283903122,0.0,0.0,0.0,0.0
seq_4_SCOPt1e2,10,83,3.494807829212603,1.6562084412475064,0.0087110824484571,0.1187203342902567,0.1409848320504095,1.1760358832677986,1.40406892365481,0.1280003051055121,-20.42007838319854,11.005398915138464,40.255238905041935,2.4191813135870053,17.99602560047282,1.0,0.2597051663406662,1.149979,234.410075,16609,2314,3189,2626,163,293,"(98, 0)",314,"(119, 0)",0.7256193164001254,0.8811881188118812,0.2743806835998745,0.1188118811881188,1.018823529411765,1.1074168797953965,0.5563139931740614,8,16,10,59.49306312252032,7200.243042945862,0.0,0.0,0.0,0.0
seq_5_SCOPt1e2,10,239,2.894208391528215,2.125833328511149,0.0402946180803146,0.1027585138285748,0.1210047777544349,3.4348674049190895,5.03785487950809,0.2796400389729611,0.7283431695150353,9.46479850409298,51.12442260929098,0.0,11.449850878724307,0.0,0.2237632915830097,0.158295,4898.227256,16425,3466,3480,3479,240,244,"(10, 0)",244,"(11, 0)",0.9959770114942528,0.9962632940500143,0.0040229885057471,0.0037367059499856,1.0039370078740155,1.0039370078740155,0.9836065573770492,2,8,6,5.878208548460978,7200.219383716583,1.0,0.0,0.0,0.0
