sequence_name,n_sequences_tips,alignment_length,crown_age,gamma_shape,prop_invariant,insertion_rate,deletion_rate,mean_insertion_length,mean_deletion_length,normalized_colless_index,gamma,best_BD_speciation_rate,best_BD_extinction_rate,best_BD_speciation_alpha,best_BD_extinction_alpha,best_BLINDLIN,indel_rate,percent_unique_topologies,likelihood_ess,n_samples,shared_homologies,homologies_reference,homologies_estimated,correctly_aligned_columns,aligned_columns_ref,singleton_insertion_ref,aligned_columns_est,singleton_insertion_est,sp_score,modeler,spfn,spfp,compression_naive,compression,tc,rf_distance,max_rf_distance,n_common_leaves,rfl_distance,wall_clock_s,best_BCSTDLIN,best_BLINDEXP,best_BEXPDLIN,best_BEXPDCST
seq_1_SCOPt2e2,10,383,4.675312736128364,2.2924816606132374,0.0003126858064251,0.1137040649355052,0.1880101450384753,8.1084776190319,8.564191276538399,0.1507541348132449,-12.550228116903586,6.643268675558802,19.974926468101007,-3.1190751952360727,14.902083100467944,1.0,0.3017142099739806,0.008135,24.571643,12292,42874,43633,43482,369,408,"(15, 0)",414,"(20, 0)",0.982604909128412,0.9860172025205832,0.0173950908715879,0.0139827974794167,1.0260047281323876,1.0260047281323876,0.9044117647058824,4,28,16,22.94801246208233,7200.203779220581,0.0,,,
seq_2_SCOPt2e2,10,533,3.151759007533917,1.4590173406445028,0.0397936182233787,0.0730132534308756,0.0867935245527572,5.448434422043465,6.541117737366033,0.1002924505746167,-6.0885089453240395,4.228007599032113,5.3934819826543645,-1.575201342604183,0.5379593117993693,1.0,0.1598067779836329,0.007046,39.682059,14193,22419,22814,22872,524,571,"(31, 0)",567,"(32, 0)",0.982686069957044,0.9801941238195172,0.0173139300429561,0.0198058761804826,0.9933665008291874,0.9950166112956812,0.9176882661996496,6,16,10,15.756130313494992,7200.170607805252,0.0,,,
seq_3_SCOPt2e2,10,572,4.410441055797332,1.515285985794507,0.0258565699424919,0.1274620993339756,0.0933746011942106,3.647172617537848,3.4132276945408586,0.0733006749777401,60.515102144626304,8.13540862366083,13.627886600294126,-2.9266217286442076,3.8018175409998456,1.0,0.2208367005281863,0.011903,20.053874,8401,42755,43273,43292,597,630,"(52, 0)",630,"(50, 0)",0.9880294872091142,0.9875958606670978,0.0119705127908857,0.0124041393329021,0.997067448680352,0.997067448680352,0.9476190476190476,0,22,13,9.010764822318498,5848.73272395134,0.0,,,
seq_4_SCOPt2e2,10,241,4.488020661577073,1.2143664158444951,0.0331152650095344,0.0830774738539086,0.0712131660475999,4.188335495205225,5.284157593824187,0.1239321406560052,-13.830350000268147,14.97122550795792,16.839060713887903,-0.2811517697065665,5.869645549399883,1.0,0.1542906399015086,0.105897,19.368262,15109,43553,44179,44168,224,259,"(47, 0)",257,"(58, 0)",0.9858303718961496,0.986075892048542,0.0141696281038502,0.013924107951458,1.0294117647058822,1.0294117647058822,0.8648648648648649,20,36,20,30.283723326943793,7200.21365404129,0.0,,,
seq_5_SCOPt2e2,10,85,2.3887012557160787,1.577779604025992,0.0030754707330173,0.1252013663031164,0.1222674675932251,3.799927400309739,3.988611619296292,0.1046395388053679,32.370166452389284,88.12279978562532,41.12420726228064,33.590889571430026,19.517838309025553,1.0,0.2474688338963416,0.914584,56.027722,30287,24632,24632,24632,90,90,"(2, 0)",90,"(2, 0)",1.0,1.0,0.0,0.0,1.0,1.0,1.0,12,46,25,61.26393201123373,7200.208622217178,0.0,,,
seq_1_SCOPt1e2,10,169,2.2181529016268726,1.8265873716862264,0.0093561643140178,0.0972531609414062,0.186276457638832,2.103490962057083,2.4309242630132704,0.214941681897437,9.54865312933654,59.995079480655946,64.87386404827761,17.72347798975335,62.86999725099195,1.0,0.2835296185802383,0.519342,38.455387,26187,20200,20215,20215,180,182,"(6, 0)",182,"(6, 0)",0.9992579767499382,0.9992579767499382,7.420232500617852,7.420232500617852,1.0,1.0,0.989010989010989,8,28,16,21.659986604112454,7200.21518778801,0.0,0.0,0.0,0.0
seq_2_SCOPt1e2,10,176,4.653628916325962,1.8908822488489072,0.0285653014919308,0.1738164510961027,0.21035281032021,2.9282170677888377,3.4080378984508912,0.2093102243880346,42.152237524763834,10.62241094199478,27.866345998853383,-7.999563623534426,12.811130585248891,1.0,0.3841692614163128,0.00748,54.031296,26738,17372,17536,17536,201,210,"(16, 0)",210,"(16, 0)",0.990647810218978,0.990647810218978,0.0093521897810219,0.0093521897810219,0.9955947136563876,1.0,0.9571428571428572,6,26,15,34.194650636769005,7200.212710857391,0.0,0.0,0.0,0.0
seq_3_SCOPt1e2,10,27,3.5588482762928924,1.3567194947948762,0.0201337755823031,0.0569262340690729,0.082076169176676,1.3721451704008436,1.643179450072345,0.0589846888079073,20.147632463459033,17.78044875689761,12.976717273796384,3.93612596111862,17.385673906516203,1.0,0.1390024032457489,0.652058,111.825141,54443,7229,7410,7410,61,67,"(14, 0)",67,"(14, 0)",0.9755735492577596,0.9755735492577596,0.0244264507422402,0.0244264507422402,1.0,1.0,0.9104477611940298,16,44,24,33.893947171714295,7200.229372262955,0.0,0.0,0.0,0.0
seq_4_SCOPt1e2,10,83,3.494807829212603,1.6562084412475064,0.0087110824484571,0.1187203342902567,0.1409848320504095,1.1760358832677986,1.40406892365481,0.1280003051055121,-20.42007838319854,11.005398915138464,40.255238905041935,2.4191813135870053,17.99602560047282,1.0,0.2597051663406662,0.051117,31.834506,25432,825,3189,1258,115,293,"(98, 0)",432,"(173, 0)",0.2587017873941674,0.6558028616852146,0.7412982126058325,0.3441971383147854,1.423529411764706,1.5473145780051152,0.3924914675767918,8,16,10,8.854722094634287,7200.236097812653,0.0,0.0,0.0,0.0
seq_5_SCOPt1e2,10,239,2.894208391528215,2.125833328511149,0.0402946180803146,0.1027585138285748,0.1210047777544349,3.4348674049190895,5.03785487950809,0.2796400389729611,0.7283431695150353,9.46479850409298,51.12442260929098,0.0,11.449850878724307,0.0,0.2237632915830097,0.002071,379.933164,48294,3466,3480,3484,239,244,"(10, 0)",244,"(10, 0)",0.9959770114942528,0.994833524684271,0.0040229885057471,0.005166475315729,1.0,1.0,0.9795081967213116,4,8,6,3.9317652767934246,7200.213175058365,1.0,0.0,0.0,0.0
