iter	likelihood	#indels	#substs	rs07:mean_length	rs07:rate	P1/#indels	P1/#substs	P1/likelihood	P1/prior_A	P1/|A|	P1/|indels|	tn93:kappaPur	tn93:kappaPyr	tn93:pi[A]	tn93:pi[C]	tn93:pi[G]	tn93:pi[T]	sigma	prior_A	scale	scale*|T|	scale1	scale1*|T|	|A|	|T|	|indels|	posterior	prior
22	-6.777797505302593E2	18	151	1.977489694525885E0	3.698134108998414E-2	18	151	-6.777797505302593E2	-1.2843792333215097E2	144	51	1.1274849395239035E0	2.1451947532534716E0	1.6840475124275495E-1	3.0813781597673523E-1	3.3554364279498E-1	1.8791378998552985E-1	2.7015189165432833E-2	-1.2843792333215097E2	2.673219587946023E0	1.986554280057352E0	2.673219587946023E0	1.986554280057352E0	144	7.43131723639556E-1	51	-8.409651016113312E2	-1.6318535108107187E2
23	-6.739292860188643E2	20	147	2.316327216711678E0	3.6905319929269376E-2	20	147	-6.739292860188643E2	-1.372211270102389E2	145	53	1.3219693814850577E0	1.8819193118189783E0	1.869688759048388E-1	3.4210543735725407E-1	2.622971900871988E-1	2.086284966507083E-1	6.387559824974091E-2	-1.372211270102389E2	3.8707453454243486E0	1.8680587542515505E0	3.8707453454243486E0	1.8680587542515505E0	145	4.8260957194195264E-1	53	-8.405422554511745E2	-1.666129694323102E2
24	-6.877003473841274E2	16	152	2.253943554672456E0	3.0461766150019255E-2	16	152	-6.877003473841274E2	-1.1393758601345809E2	140	37	1.5308700458572753E0	1.9721913500476735E0	2.0485462990134928E-1	2.791701480149838E-1	2.873889760498173E-1	2.2858624603384942E-1	2.1042592305608174E-1	-1.1393758601345809E2	5.575109177131287E0	1.9272666683863227E0	5.575109177131287E0	1.9272666683863227E0	140	3.456912873189708E-1	37	-8.282672106193273E2	-1.405668632351999E2
25	-6.722017887414627E2	19	139	1.8019581591423461E0	3.774166348714933E-2	19	139	-6.722017887414627E2	-1.329102688285461E2	144	45	2.221178101220716E0	2.2160437426297377E0	1.7339937209517964E-1	2.6333177170839E-1	3.1373068491415873E-1	2.4953817128227165E-1	4.3021558616707346E-2	-1.329102688285461E2	3.673825467819528E0	1.7235163874427284E0	3.673825467819528E0	1.7235163874427284E0	144	4.691339865052604E-1	45	-8.353336796204144E2	-1.631318908789517E2
26	-6.772006293368706E2	22	142	2.8228612490028344E0	6.347798044239338E-2	22	142	-6.772006293368706E2	-1.4512613867165493E2	147	51	2.389792970100419E0	2.151331829522055E0	1.6049168959024926E-1	3.222122589400967E-1	2.863332616830229E-1	2.3096278978663107E-1	1.1833311826642193E-1	-1.4512613867165493E2	3.1052234746336502E0	1.7527203840163443E0	3.1052234746336502E0	1.7527203840163443E0	147	5.644425911159672E-1	51	-8.518701026125017E2	-1.7466947327563108E2
27	-6.873768776766475E2	14	149	2.0826186187174374E0	3.9720526145334285E-2	14	149	-6.873768776766475E2	-1.0273252157209113E2	138	32	1.5935138838640839E0	2.205642472545145E0	1.5950613771656666E-1	3.202336088533996E-1	2.9071576642784164E-1	2.2954448700219202E-1	9.221880816937841E-2	-1.0273252157209113E2	2.801883606056975E0	2.0570285285249423E0	2.801883606056975E0	2.0570285285249423E0	138	7.341591649553745E-1	32	-8.23357095457316E2	-1.3598021778066843E2
28	-6.860358070622938E2	19	147	1.6162277045288813E0	3.3616297328823486E-2	19	147	-6.860358070622938E2	-1.244123167210308E2	139	33	1.8857027695923883E0	2.177324688555956E0	1.9689220836882873E-1	2.503270452780807E-1	3.088878638779288E-1	2.4389288247516155E-1	3.434996771578162E-2	-1.244123167210308E2	4.297961501630839E0	1.540818507375874E0	4.297961501630839E0	1.540818507375874E0	139	3.584998392356978E-1	33	-8.375256409153872E2	-1.5148983385309333E2
29	-6.941130541983657E2	15	156	2.0035904829075983E0	4.757797609003677E-2	15	156	-6.941130541983657E2	-1.0481818699850898E2	138	31	2.0081328837789796E0	2.210220399290567E0	1.867816898146405E-1	3.320198238113961E-1	2.4982963181198545E-1	2.3136885456197795E-1	6.761895525544279E-2	-1.0481818699850898E2	3.997166438456588E0	2.083507493060931E0	3.997166438456588E0	2.083507493060931E0	138	5.212461190045988E-1	31	-8.276018334995456E2	-1.3348877930117985E2
30	-6.833915543694283E2	22	145	1.962416433059316E0	4.251217966679766E-2	22	145	-6.833915543694283E2	-1.416377383444116E2	144	43	1.8223231090285057E0	2.0375558428296716E0	1.9724340843836113E-1	2.864818382030569E-1	2.6382269138050346E-1	2.5245206197807846E-1	9.879468136500412E-2	-1.416377383444116E2	3.5884405178350987E0	1.662660600848615E0	3.5884405178350987E0	1.662660600848615E0	144	4.633379298291102E-1	43	-8.528556265341579E2	-1.6946407216472963E2
31	-6.872130742939048E2	16	149	3.6176827120144623E0	3.762989576576641E-2	16	149	-6.872130742939048E2	-1.1260141466640813E2	139	33	1.5912777297034442E0	2.1126462302617512E0	1.5366746427481534E-1	2.970024976777372E-1	2.8071434473800977E-1	2.6861569330943763E-1	2.1112907556784525E-2	-1.1260141466640813E2	2.619201524400923E0	1.8839168563677775E0	2.619201524400923E0	1.8839168563677775E0	139	7.192714416271105E-1	33	-8.278435258236121E2	-1.4063045152970736E2
32	-6.702115933634798E2	14	142	2.4073629199697164E0	2.8429063207284753E-2	14	142	-6.702115933634798E2	-1.077596681572789E2	142	42	1.5107957725879926E0	2.2969383712375575E0	1.955145614752754E-1	2.9557237953692866E-1	2.9026326654584944E-1	2.1864979244194635E-1	3.741402102543219E-2	-1.077596681572789E2	3.494332940329062E0	1.3444242892117044E0	3.494332940329062E0	1.3444242892117044E0	142	3.847441878520882E-1	42	-8.053349315422913E2	-1.351233381788115E2
33	-6.813824967634457E2	13	144	2.5123966489554164E0	2.1188371651580492E-2	13	144	-6.813824967634457E2	-9.663453719005601E1	139	34	1.5318167107844625E0	1.5314297688755543E0	2.0797956802141068E-1	2.5364847415022246E-1	3.0706542175741963E-1	2.313065360709473E-1	5.2238047312274216E-2	-9.663453719005601E1	3.5368589440857106E0	2.0715868686686205E0	3.5368589440857106E0	2.0715868686686205E0	139	5.857137367982121E-1	34	-8.062955780916394E2	-1.2491308132819368E2
34	-6.725621974714409E2	14	145	3.189180164132858E0	2.1748661783999503E-2	14	145	-6.725621974714409E2	-1.0240638793309782E2	142	40	1.3574865396027023E0	2.9749214260787546E0	1.904655659799814E-1	2.6759212096471496E-1	3.389712452396977E-1	2.0297106781560595E-1	4.240685761297495E-2	-1.0240638793309782E2	8.936152947913665E-1	1.819226939096E0	8.936152947913665E-1	1.819226939096E0	142	2.0358055079179653E0	40	-8.152209742582584E2	-1.426587767868175E2
35	-6.816195322212975E2	19	152	3.4514430532288056E0	2.9482878473528026E-2	19	152	-6.816195322212975E2	-1.3407714407609737E2	140	45	1.2948777784059333E0	2.7936754425381785E0	1.8958305964222993E-1	2.748279440012916E-1	3.737617858860483E-1	1.6182721047043017E-1	2.9020232288202213E-1	-1.3407714407609737E2	3.9520563689961326E0	1.9409013340137073E0	3.9520563689961326E0	1.9409013340137073E0	140	4.911117536784321E-1	45	-8.441386700934968E2	-1.6251913787219925E2
36	-6.814482353090413E2	14	148	4.327292865795918E0	2.7784214553457243E-2	14	148	-6.814482353090413E2	-1.022909145814479E2	139	41	1.6523945372992783E0	2.970916207960258E0	2.2241233470581032E-1	2.81755787358861E-1	2.9532623362689575E-1	2.00505644308433E-1	5.920896433917518E-2	-1.022909145814479E2	5.521870391751482E0	1.837643892740353E0	5.521870391751482E0	1.837643892740353E0	139	3.327937387819548E-1	41	-8.087076776188123E2	-1.2725944230977105E2
37	-6.842373520943794E2	14	151	2.34234016324098E0	2.230400575150995E-2	14	151	-6.842373520943794E2	-1.0409602148071649E2	139	40	1.5555636202896066E0	2.5013991868830416E0	2.1268313858811447E-1	3.071368847620208E-1	2.8240749488222544E-1	1.9777248176763948E-1	1.1344374405535833E-1	-1.0409602148071649E2	9.91319228597658E-1	2.3331209220753863E0	9.91319228597658E-1	2.3331209220753863E0	139	2.353551565196481E0	40	-8.259240403364144E2	-1.4168668824203496E2
